#date	dose_E(mGy/day)	dose_B(mGy/day)
2022-02-16 13:38:04.118513	4.73E-001	4.85E-001
2022-02-16 13:47:11.123676	4.69E-001	4.71E-001
2022-02-16 13:56:06.128725	4.61E-001	4.99E-001
2022-02-16 14:05:10.133860	4.49E-001	5.61E-001
2022-02-16 14:14:16.139013	4.31E-001	4.74E-001
2022-02-16 14:23:22.144166	4.23E-001	4.33E-001
2022-02-16 14:32:28.149319	4.32E-001	4.53E-001
2022-02-16 14:41:34.154472	4.34E-001	4.68E-001
2022-02-16 14:50:30.159531	4.21E-001	4.18E-001
2022-02-16 15:07:36.169214	4.08E-001	4.05E-001
2022-02-16 15:16:42.174367	4.09E-001	4.20E-001
2022-02-16 15:25:48.179521	4.05E-001	4.14E-001
2022-02-16 15:34:54.184674	3.99E-001	3.93E-001
2022-02-16 15:44:00.189827	4.05E-001	4.13E-001
2022-02-16 15:53:06.194980	3.91E-001	4.11E-001
2022-02-16 16:02:12.200133	3.98E-001	3.88E-001
2022-02-16 16:19:18.209817	3.90E-001	3.80E-001
2022-02-16 16:28:24.214970	3.89E-001	3.85E-001
2022-02-16 16:45:30.224653	4.04E-001	3.95E-001
2022-02-16 16:54:36.229806	3.78E-001	4.59E-001
2022-02-16 17:03:42.234959	3.78E-001	3.84E-001
2022-02-16 17:12:48.240113	3.82E-001	3.91E-001
2022-02-16 17:21:54.245266	3.69E-001	3.67E-001
2022-02-16 17:31:00.250419	3.75E-001	3.70E-001
2022-02-16 17:48:06.260102	3.70E-001	3.60E-001
2022-02-16 18:05:12.269786	3.65E-001	3.95E-001
2022-02-16 18:22:18.279469	3.58E-001	3.54E-001
2022-02-16 18:39:25.289162	3.63E-001	3.65E-001
2022-02-16 18:56:31.298845	3.58E-001	3.54E-001
2022-02-16 19:13:37.308529	3.57E-001	3.80E-001
2022-02-16 19:30:43.318212	3.54E-001	3.60E-001
2022-02-16 19:47:49.327895	3.49E-001	3.48E-001
2022-02-16 20:04:55.337579	3.41E-001	3.40E-001
2022-02-16 20:22:01.347262	3.39E-001	4.17E-001
2022-02-16 20:38:26.356559	3.50E-001	3.04E-001
2022-02-16 20:50:29.363382	3.46E-001	3.24E-001
2022-02-16 21:07:35.373066	3.43E-001	3.40E-001
2022-02-16 21:24:41.382749	3.34E-001	3.29E-001
2022-02-16 21:41:47.392432	3.36E-001	3.32E-001
2022-02-16 21:58:53.402116	3.32E-001	3.26E-001
2022-02-16 22:15:59.411799	3.35E-001	3.36E-001
2022-02-16 22:33:01.421445	3.28E-001	3.26E-001
2022-02-16 22:49:12.430609	3.27E-001	3.27E-001
2022-02-16 23:06:17.440283	3.27E-001	3.22E-001
2022-02-16 23:23:23.449966	3.33E-001	3.22E-001
2022-02-16 23:40:29.459650	3.29E-001	3.34E-001
2022-02-16 23:57:35.469333	3.25E-001	3.24E-001
2022-02-17 00:14:41.479017	3.27E-001	3.21E-001
2022-02-17 00:31:47.488700	3.17E-001	3.11E-001
2022-02-17 00:48:53.498383	3.16E-001	3.01E-001
2022-02-17 01:05:59.508067	3.23E-001	3.14E-001
2022-02-17 01:23:05.517750	3.15E-001	2.86E-001
2022-02-17 01:40:11.527434	3.15E-001	3.03E-001
2022-02-17 01:57:17.537117	3.13E-001	2.92E-001
2022-02-17 02:14:23.546800	3.16E-001	3.10E-001
2022-02-17 02:31:30.556493	3.19E-001	3.08E-001
2022-02-17 02:48:36.566177	3.15E-001	3.19E-001
2022-02-17 03:05:42.575860	3.20E-001	3.23E-001
2022-02-17 03:22:33.585402	3.12E-001	3.07E-001
2022-02-17 03:39:38.595076	3.13E-001	3.00E-001
2022-02-17 03:56:43.604750	3.14E-001	3.06E-001
2022-02-17 04:13:47.614414	3.15E-001	3.05E-001
2022-02-17 04:30:52.624088	3.19E-001	3.19E-001
2022-02-17 04:47:57.633762	3.20E-001	3.16E-001
2022-02-17 05:05:01.643427	3.17E-001	3.18E-001
2022-02-17 05:22:06.653101	3.18E-001	3.08E-001
2022-02-17 05:39:10.662765	3.13E-001	3.09E-001
2022-02-17 05:56:15.672439	3.17E-001	3.32E-001
2022-02-17 06:13:21.682122	3.19E-001	3.04E-001
2022-02-17 06:30:27.691806	3.20E-001	2.96E-001
2022-02-17 06:47:33.701489	3.15E-001	2.92E-001
2022-02-17 07:04:39.711173	3.21E-001	3.05E-001
2022-02-17 07:21:46.720865	3.21E-001	3.10E-001
2022-02-17 07:38:52.730549	3.18E-001	2.95E-001
2022-02-17 07:55:58.740232	3.22E-001	3.01E-001
2022-02-17 08:13:04.749916	3.15E-001	3.24E-001
2022-02-17 08:30:10.759599	3.18E-001	3.08E-001
2022-02-17 08:47:16.769282	3.22E-001	2.90E-001
