second,pFlux_2.00MeV--2.60MeV,pFlux_2.60MeV--3.30MeV,pFlux_3.30MeV--4.20MeV,pFlux_4.20MeV--5.30MeV,pFlux_5.30MeV--6.80MeV,pFlux_6.80MeV--8.70MeV,pFlux_8.70MeV--11.10MeV,pFlux_11.10MeV--14.10MeV,pFlux_14.10MeV--18.10MeV,pFlux_18.10MeV--23.10MeV,pFlux_23.10MeV--29.40MeV,pFlux_29.40MeV--37.60MeV,pFlux_37.60MeV--48.00MeV,pFlux_48.00MeV--61.30MeV,pFlux_61.30MeV--78.30MeV,pFlux_78.30MeV--100.00MeV,aFlux_4.00MeV--5.33MeVaFlux_5.33MeV--7.11MeVaFlux_7.11MeV--9.48MeVaFlux_9.48MeV--12.65MeVaFlux_12.65MeV--16.87MeVaFlux_16.87MeV--22.49MeVaFlux_22.49MeV--29.99MeVaFlux_29.99MeV--40.00MeVaFlux_40.00MeV--53.34MeVaFlux_53.34MeV--71.13MeVaFlux_71.13MeV--94.85MeVaFlux_94.85MeV--126.49MeVaFlux_126.49MeV--168.68MeVaFlux_168.68MeV--224.94MeVaFlux_224.94MeV--299.96MeVaFlux_299.96MeV--400.00MeV,,,,,,,,,,,,,,,
193784144,17.41864,11.04393,5.57083,4.80266,2.26371,0.50962,0.33837,0.24985,0.08603,0.05645,0.03486,0.01593,0.00547,0.00747,0.00385,0.00209,0.36281,0.34418,0.34033,0.15948,0.05033,0,0.04332,0,0,0,0.00164,0,0,0,0,0
193785344,11.83247,11.28019,5.12663,4.26125,1.25404,0.36437,0.27155,0.27221,0.10984,0.03203,0.03916,0.03021,0.00652,0.00496,0.00186,0.00199,0.37057,0.11718,0.43452,0.06516,0,0,0.04425,0,0,0,0.00167,0.00168,0,0,0.00005,0.00003
193786544,16.5755,9.42451,5.30983,4.72145,1.78592,0.4313,0.53694,0.17621,0.09102,0.07299,0.01475,0.01203,0.00676,0.00276,0.00236,0.00147,0.27415,0.18205,0.22502,0.03374,0,0.01374,0,0,0,0,0,0,0,0,0,0
193787744,13.06285,9.23193,4.2649,4.05523,1.60364,0.31951,0.30306,0.17405,0.0899,0.02622,0.00728,0.01664,0.00572,0.00546,0.00275,0.00218,0.27079,0.11988,0.31116,0.13331,0.05259,0.01358,0,0,0,0.00437,0,0,0,0,0.00005,0.00007
193788944,12.19147,8.89706,3.50799,3.49675,1.22011,0.2701,0.2562,0.17657,0.0684,0.03324,0.01478,0.01206,0.0116,0.00356,0.00343,0.00192,0.16482,0.30403,0.22547,0.13524,0.07113,0.01377,0.04592,0,0,0,0,0,0,0,0,0.00007
193790144,4.93559,2.76144,1.85096,2.0589,0.79526,0.07545,0.2147,0.11508,0.0743,0.05572,0.00688,0.01572,0.0072,0.00221,0.0026,0.00192,0.10231,0.11323,0.08398,0.03148,0,0,0,0,0,0,0.00162,0,0,0.00012,0,0
193791344,3.89945,3.30422,1.73801,1.0654,0.62281,0.07299,0.11539,0.04772,0.05134,0.02396,0.0233,0.01521,0.00348,0.00428,0.00367,0.0012,0,0,0.08124,0,0,0,0,0,0.00345,0.00399,0.00156,0,0,0.00012,0,0
193792544,3.6186,3.5442,2.03038,1.41946,0.76051,0.0481,0.22813,0.15722,0.07106,0.04144,0.0329,0.01074,0.00431,0.00317,0.00191,0.00158,0.04892,0.10829,0,0,0.01583,0,0,0,0,0,0,0,0.00041,0,0.00009,0
193793744,3.84513,2.28767,1.76573,1.553,0.57801,0.16794,0.06827,0.0941,0.08101,0.03543,0.01641,0.00643,0.01117,0.00457,0.00362,0.0017,0,0,0,0.03003,0,0,0,0,0,0,0,0,0,0.00012,0.00005,0
193794944,4.11587,3.03002,1.21063,1.4197,0.70178,0.13982,0.11052,0.06093,0.02951,0.04015,0.01594,0.00832,0.01168,0.00273,0.00407,0.00165,0.0474,0,0.03891,0,0,0,0,0,0,0,0,0,0,0,0.00009,0.00012
193796144,3.59197,2.63308,1.8714,1.06764,0.52775,0.09346,0.02216,0.10692,0.04931,0.01726,0.01918,0.01252,0.00753,0.00342,0.00204,0.00153,0,0.1052,0.07802,0.02925,0,0.01191,0,0.00447,0.00331,0,0,0.0015,0,0,0,0.00006
193797344,5.2585,3.48408,1.02356,1.62044,0.5696,0.09457,0.15698,0.09273,0.04989,0.04074,0.01617,0.019,0.00846,0.00485,0.0015,0.00232,0,0.05322,0.03947,0.02959,0.01557,0,0,0,0,0,0.00152,0,0,0,0.00014,0.00003
